region_id	chr	start	stop	pvalue	FDRp	dm_type	adj_diff_meth	meth_diff	abs_diff	case_mean	ctrl_mean	prom	exon	intron	intergenic	gene.overlap.GeneID	promoter.GeneID	dist.to.TSS	tss.GeneID	gene.overlap.gene.name	gene.overlap.source.of.gene.name	gene.overlap.gene.type	gene.overlap.gene.description	gene.overlap.Ensembl.family.description	promoter.gene.name	promoter.source.of.gene.name	promoter.gene.type	promoter.gene.description	promoter.Ensembl.family.description	tss.gene.name	tss.source.of.gene.name	tss.gene.type	tss.gene.description	tss.Ensembl.family.description
1_100049001_100050000	1	100049001	100050000	3.7381063196287e-12	1.43647171669173e-09	hyper	20.0633767713452	13.7123426920104	20.0633767713452	72.1793591516576	58.4670164596472	0	1	1	0	ENSG00000156875	NA	-8671	NA	MFSD14A	ensembl_havana	protein_coding	major facilitator superfamily domain containing 14A [Source:HGNC Symbol;Acc:HGNC:23363]	HIPPOCAMPUS ABUNDANT TRANSCRIPT 1 MAJOR FACILITATOR SUPERFAMILY DOMAIN CONTAINING 14A|	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1_100127001_100128000	1	100127001	100128000	1.88987611187318e-09	5.40392139105223e-07	hyper	20.0751333848051	18.3035750076759	20.0751333848051	80.3834967489329	62.079921741257	0	0	1	0	ENSG00000156876	NA	4931	NA	SASS6	ensembl_havana	protein_coding	SAS-6 centriolar assembly protein [Source:HGNC Symbol;Acc:HGNC:25403]	SPINDLE ASSEMBLY ABNORMAL 6 HOMOLOG|	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1_107781001_107782000	1	107781001	107782000	0.000239404224961899	0.0126736236678212	hypo	-10.3534622263862	-10.3730439068151	10.3534622263862	87.1393660300988	97.5124099369138	0	0	1	0	ENSG00000134215	NA	3625	NA	VAV3	ensembl_havana	protein_coding	vav guanine nucleotide exchange factor 3 [Source:HGNC Symbol;Acc:HGNC:12659]	GUANINE NUCLEOTIDE EXCHANGE FACTOR VAV3 VAV 3|	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1_108624001_108625000	1	108624001	108625000	5.59779263499857e-06	0.000578720787161677	hyper	11.033162037839	7.80771557131311	11.033162037839	95.5625857011832	87.7548701298701	1	1	1	0	ENSG00000162636	ENSG00000162636	0	NA	FAM102B	ensembl_havana	protein_coding	family with sequence similarity 102 member B [Source:HGNC Symbol;Acc:HGNC:27637]	UNKNOWN|	FAM102B	ensembl_havana	protein_coding	family with sequence similarity 102 member B [Source:HGNC Symbol;Acc:HGNC:27637]	UNKNOWN|	NA	NA	NA	NA	NA
1_110036001_110037000	1	110036001	110037000	0.000663015916003976	0.0289127434405403	hypo	-10.5504587155963	-11.9664398896824	10.5504587155963	88.0335601103176	100	1	0	1	0	ENSG00000143093	ENSG00000143093	1372	NA	STRIP1	ensembl_havana	protein_coding	striatin interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:25916]	STRIATIN INTERACTING|	STRIP1	ensembl_havana	protein_coding	striatin interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:25916]	STRIATIN INTERACTING|	NA	NA	NA	NA	NA
1_115589001_115590000	1	115589001	115590000	1.71427947203788e-05	0.0014655637527026	hypo	-10.8910891089109	-12.5494071146245	10.8910891089109	87.4505928853755	100	0	0	0	1	NA	NA	-11217	ENSG00000270631	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AL592436.2	havana	processed_pseudogene	tetraspanin 12 (TSPAN12) pseudogene	
1_120858001_120859000	1	120858001	120859000	4.82876469140689e-06	0.00051168812905623	hypo	-18.9523962728769	-13.9224627043331	18.9523962728769	78.523526425211	92.4459891295442	0	0	0	1	NA	NA	-7018	ENSG00000275538	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RNVU1-19	ensembl	snRNA	RNA, variant U1 small nuclear 19 [Source:HGNC Symbol;Acc:HGNC:48324]	
1_149939001_149940000	1	149939001	149940000	0.00125859338418242	0.0481085485051327	hyper	11.6672246401071	11.7618771518867	11.6672246401071	25.8612560338743	14.0993788819876	1	1	0	0	ENSG00000264522	ENSG00000014914	-2124	NA	OTUD7B	ensembl_havana	protein_coding	OTU deubiquitinase 7B [Source:HGNC Symbol;Acc:HGNC:16683]	OTU DOMAIN CONTAINING 7B EC_3.4.19.12 CELLULAR ZINC FINGER ANTI NF KAPPA B ZINC FINGER A20 DOMAIN CONTAINING 1 ZINC FINGER CEZANNE|	MTMR11	ensembl_havana	protein_coding	myotubularin related protein 11 [Source:HGNC Symbol;Acc:HGNC:24307]	|MYOTUBULARIN RELATED 11 INACTIVE PHOSPHATIDYLINOSITOL 3 PHOSPHATASE 11	NA	NA	NA	NA	NA
1_151013001_151014000	1	151013001	151014000	0.00112761209174903	0.0439477930378873	hyper	12.5874125874126	14.1587355012104	12.5874125874126	81.5690905882413	67.410355087031	0	0	1	0	ENSG00000143363	NA	4474	NA	PRUNE1	ensembl_havana	protein_coding	prune exopolyphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:13420]	|EXOPOLYPHOSPHATASE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1_153541001_153542000	1	153541001	153542000	0.00125838546751395	0.0481085485051327	hyper	11.1325039494471	16.4786379534324	11.1325039494471	55.5255244003188	39.0468864468864	1	1	1	0	ENSG00000196420	ENSG00000196420	0	NA	S100A5	ensembl_havana	protein_coding	S100 calcium binding protein A5 [Source:HGNC Symbol;Acc:HGNC:10495]	S100 A5 S 100D S100 CALCIUM BINDING A5	S100A5	ensembl_havana	protein_coding	S100 calcium binding protein A5 [Source:HGNC Symbol;Acc:HGNC:10495]	S100 A5 S 100D S100 CALCIUM BINDING A5	NA	NA	NA	NA	NA
